bookingId,airbnbHostId,listingId,amenitiesId,airbnbPropertyId,reviewId,checkInOutId,locationId,pricingId,occupancyRateLtm,numberOfBookingsLtm,numberOfBookingsLtmObservedMonth,countBlockedDaysLtm,instantBookEnabled,countReservationDaysLtm,countavailableDaysLtm,annualRevenueLtmUSD,annualRevenueLtmNative
LONBOK55,186018340,LONLIS55,LONAMT55,6.29665E+17,LONREV55,LONCHK55,LONLOC55,LONPRC55,51,0,-1,358,FALSE,3,7,750,592.5
LONBOK246,260174990,LONLIS246,LONAMT246,34466844,LONREV246,LONCHK246,LONLOC246,LONPRC246,98,70,64,212,TRUE,120,153,11909,9408.1
LONBOK68,37535648,LONLIS68,LONAMT68,6.37592E+17,LONREV68,LONCHK68,LONLOC68,LONPRC68,22,0,-8,332,FALSE,6,33,1604,1267.2
LONBOK276,8855535,LONLIS276,LONAMT276,8.68691E+17,LONREV276,LONCHK276,LONLOC276,LONPRC276,100,4,2,236,FALSE,119,129,21156,16713.2
LONBOK30,50832554,LONLIS30,LONAMT30,12949625,LONREV30,LONCHK30,LONLOC30,LONPRC30,100,7,6,289,FALSE,71,76,5623,4442.2
LONBOK168,64591920,LONLIS168,LONAMT168,6.07348E+17,LONREV168,LONCHK168,LONLOC168,LONPRC168,68,27,25,251,FALSE,65,114,15814,12493.1
LONBOK368,287655884,LONLIS368,LONAMT368,37944372,LONREV368,LONCHK368,LONLOC368,LONPRC368,100,3,-2,352,FALSE,11,13,864,682.6
LONBOK421,521233214,LONLIS421,LONAMT421,9.28966E+17,LONREV421,LONCHK421,LONLOC421,LONPRC421,92,5,5,306,FALSE,45,59,6839,5402.8
LONBOK222,521772303,LONLIS222,LONAMT222,9.20951E+17,LONREV222,LONCHK222,LONLOC222,LONPRC222,67,3,1,306,FALSE,33,59,11740,9274.6
LONBOK328,459020032,LONLIS328,LONAMT328,7.11496E+17,LONREV328,LONCHK328,LONLOC328,LONPRC328,25,0,-2,326,FALSE,8,39,1384,1093.4
LONBOK301,403820523,LONLIS301,LONAMT301,50406952,LONREV301,LONCHK301,LONLOC301,LONPRC301,100,47,46,196,TRUE,146,169,44944,35505.8
LONBOK288,331321483,LONLIS288,LONAMT288,9.16463E+17,LONREV288,LONCHK288,LONLOC288,LONPRC288,92,2,1,306,FALSE,45,59,12702,10034.6
LONBOK397,84139817,LONLIS397,LONAMT397,9.48213E+17,LONREV397,LONCHK397,LONLOC397,LONPRC397,88,0,-2,335,FALSE,22,30,2798,2210.4
LONBOK308,36401039,LONLIS308,LONAMT308,7.66457E+17,LONREV308,LONCHK308,LONLOC308,LONPRC308,37,11,6,265,FALSE,31,100,11655,9207.5
LONBOK204,119438306,LONLIS204,LONAMT204,17583214,LONREV204,LONCHK204,LONLOC204,LONPRC204,100,19,16,233,FALSE,117,132,8046,6356.3
LONBOK303,77447041,LONLIS303,LONAMT303,28596557,LONREV303,LONCHK303,LONLOC303,LONPRC303,33,0,3,365,FALSE,0,0,374,295.5
LONBOK437,141339169,LONLIS437,LONAMT437,6.33681E+17,LONREV437,LONCHK437,LONLOC437,LONPRC437,28,4,-5,257,FALSE,25,108,2056,1624.2
LONBOK310,20297348,LONLIS310,LONAMT310,21796581,LONREV310,LONCHK310,LONLOC310,LONPRC310,100,1,3,365,TRUE,0,0,2474,1954.5
LONBOK124,42153689,LONLIS124,LONAMT124,9.14368E+17,LONREV124,LONCHK124,LONLOC124,LONPRC124,50,1,0,307,FALSE,24,58,18879,14914.4
LONBOK269,72921587,LONLIS269,LONAMT269,18558499,LONREV269,LONCHK269,LONLOC269,LONPRC269,65,0,3,365,TRUE,0,0,1030,813.7
MIABOK121,188392637,MIALIS121,MIAAMT121,24918580,MIAREV121,MIACHK121,MIALOC121,MIAPRC121,55,18,15,214,FALSE,69,151,12458,12458
MIABOK401,220427695,MIALIS401,MIAAMT401,46315512,MIAREV401,MIACHK401,MIALOC401,MIAPRC401,80,35,32,33,TRUE,222,332,32669,32669
