airbnbHostId,hostListingCount,superhost
45155675,17,
30204435,0,
522151459,0,
79882989,0,
504736327,0,
57989340,71,
25860653,2,
505208575,0,
37026316,0,
426322528,0,
285728582,0,
92237359,0,
491579527,0,
22661528,0,
211074697,0,
110780958,2,
453130670,0,
7701687,0,
67625,0,
148565514,6,
491186129,0,
1343564,1,
89355192,0,
49861876,0,
287655884,1,
27834248,0,
376619708,0,
380970278,0,
457409512,0,
490562412,0,
269308503,0,
263734978,0,
251178879,0,
6676841,0,
299110291,0,
446833799,0,
13669902,0,
236036801,1,
215694977,0,
58672229,0,
431902,15,
6775243,0,
4086714,0,
363644607,0,
185898036,0,
315820320,0,
6492145,4,
359849455,0,
420248949,0,
395219763,0,
487564100,0,
2169090,0,
228928499,149,
84139817,0,
477820514,0,
410789950,0,
109385731,0,
16997732,0,
84873942,0,
7439069,0,
521233214,0,
473762416,0,
518368243,0,
325175345,4,
59874333,7,
478716639,0,
314687407,0,
78844319,19,
454232941,0,
228928499,149,
30009436,41,
126213351,1,
491579527,0,
240473406,39,
2125620,78,
494782954,0,
40633522,4,
521233214,0,
1504322,12,
80632481,1,
58672229,0,
84410810,0,
52761586,0,
324841563,0,
491186129,0,
474493463,0,
1024833,0,
363533915,0,
2125620,0,
433189437,0,
65040257,29,
44156022,0,
228928499,0,
141339169,0,
258709744,0,
57989340,71,
295373543,0,
41200507,0,
462017325,0,
451494136,0,
177296881,7,
144246094,36,
482073191,0,
105923378,0,
315820320,0,
386905447,17,
2145970,0,
28573644,0,
198407726,0,
294218760,0,
337450238,0,
376619708,0,
247213063,0,
1457604,6,
3945160,0,
334238764,21,
46163812,0,
169523585,3,
514877198,0,
185817679,4,
52761586,0,
492877150,0,
99268099,0,
1016331,0,
468798193,0,
457409512,0,
304313773,2,
66048736,1,
210878745,8,
519945528,0,
39934088,0,
29255936,0,
114381229,1,
57989340,71,
14027717,0,
44348533,0,
46313209,0,
273963876,0,
3875323,0,
148565514,0,
120579740,0,
1953756,25,
25727709,0,
7701687,0,
163845619,0,
75603666,0,
136400812,0,
434207701,0,
329602561,0,
23346804,48,
33090872,1,
492234632,0,
214524426,0,
279816426,0,
2074413,0,
327406610,20,
230404895,18,
32224301,9,
69225062,0,
17841401,47,
157685633,32,
184145011,1,
7206863,22,
5855235,2,
41770551,0,
49889013,2,
296885071,1,
46005350,37,
207643614,10,
347148628,0,
394419660,6,
58600330,1,
65623622,5,
5113144,2,
27884231,8,
49633363,5,
2364392,21,
193837813,1,
101423265,9,
253264184,25,
616825,3,
302571916,1,
308149664,10,
330991783,1,
170356374,1,
49655610,36,
303271626,1,
148841660,2,
284879269,4,
392500657,140,
225958270,22,
229099275,0,
392500657,140,
220427695,49,
458478463,22,
23331798,77,
367656404,93,
82111313,2,
113089524,37,
72362082,4,
113089524,37,
143975072,10,
154840980,16,
161456138,9,
46505648,22,
42293287,1,
176873312,40,
9077680,95,
158574767,14,
26353138,1,
35140219,9,
308525418,2,
386858605,28,
211550583,7,
127122216,13,
425912438,23,
324141779,1,
135423019,25,
369582345,2,
4783339,13,
15166808,4,
17938254,0,
31349379,11,
9077680,95,
12562720,2,
41000068,3,
160214209,3,
132093062,0,
157685633,32,
212499907,3,
230035771,2,
56695530,241,
24203953,19,
21099478,2,
17649911,1,
32163305,5,
904530,2,
26698954,3,
392500657,140,
275572441,13,
35342405,2,
69965360,23,
121249803,4,
26290796,7,
146991427,3,
32824568,4,
108349478,1,
17841401,47,
36882984,4,
359665765,49,
60510182,8,
63516853,6,
55320978,3,
131196074,1,
392500657,140,
46948179,6,
54763582,3,
39185635,1,
37336282,24,
5192522,98,
36171715,0,
26590934,7,
35638629,18,
23158148,1,
224722015,8,
223062658,23,
20671289,20,
57210060,2,
340213061,1,
255230673,16,
23331798,77,
406230322,3,
79047686,4,
113089524,37,
84903164,10,
13078293,1,
177381774,2,
188392637,2,
103419734,5,
9077680,95,
10849873,5,
253264184,25,
442365,10,
71632570,2,
32621000,5,
392500657,140,
67904054,2,
23331798,77,
46943409,3,
55045753,3,
104425368,3,
42623756,0,
17841401,47,
7206863,22,
200917792,2,
64960362,25,
303756974,4,
70567486,2,
275572441,13,
207837364,6,
133779762,503,
367656404,93,
80380580,10,
374211894,11,
124573213,2,
48106234,1,
48974029,1,
407462342,8,
9985888,1,
406230322,3,
8104216,2,
14358069,17,
51534359,0,
92728943,2,
54105719,0,
36658363,99,
134720335,1,
7206863,22,
185662674,0,
11188010,3,
192597230,1,
5192522,98,
148716135,5,
17841401,47,
39459396,18,
36635075,29,
359665765,49,
52791180,14,
106634988,4,
392500657,140,
392500657,140,
76000404,2,
328720396,10,
91280,2,
18091038,6,
92496368,8,
82867293,1,
231294926,29,
129487243,2,
24203953,19,
65279514,1,
253264184,25,
899942,9,
392500657,140,
392500657,140,
22308334,1,
367656404,93,
57344512,7,
9115759,7,
373658297,38,
34956299,2,
33441424,0,
149230562,56,
133779762,503,
133779762,503,
33843073,5,
171172948,7,
391821068,9,
98568268,2,
297267154,0,
405419972,1,
8636091,6,
28830315,3,
113089524,37,
99911939,4,
166616812,2,
5192522,98,
10728511,6,
19793,3,
7206863,22,
99911939,4,
32621000,5,
201079804,5,
280689633,119,
320684118,2,
16545743,0,
133779762,503,
23331798,77,
370756801,5,
23331798,77,
350064862,3,
412974962,13,
53096691,1,
136224169,4,
160214209,3,
2567920,2,
215916410,1,
20580888,30,
11671887,8,
33076519,10,
243196696,5,
337343785,4,
34619272,1,
359665765,49,
373742062,7,
1351407,1,
19655758,1,
227147496,3,
399863384,0,
14358069,16,
1153161,0,
6258721,1,
12183643,6,
425912438,23,
119858396,3,
18017502,2,
17841401,47,
31623900,3,
12962738,3,
133779762,503,
374211894,11,
123284991,11,
392500657,140,
392500657,140,
47377547,21,
2656478,3,
37044727,2,
47330810,10,
9077680,102,
106598782,2,
123284991,11,
11692882,6,
44863605,3,
183175738,1,
143975072,10,
22262237,1,
46948179,6,
35829931,2,
14814949,1,
48355954,3,
12645149,2,
40299835,4,
367656404,93,
374211894,11,
26186520,13,
392500657,140,
407268025,1,
407518549,3,
85651251,1,
69225062,16,
411743996,1,
136290238,6,
9104240,3,
29963058,0,
65296927,1,
29152164,44,
23320296,1,
147588388,4,
121249803,4,
23874400,8,
75797124,5,
326187922,1,
80380580,10,
275638231,23,
23331798,77,
392500657,140,
158463967,2,
20541200,10,
302851728,38,
53491465,0,
73873449,1,
249759288,5,
14119062,2,
31423939,1,
20671289,20,
153392536,1,
59185089,1,
33701283,1,
31810528,2,
49655610,36,
241750180,1,
127122216,13,
133779762,503,
347336420,2,
46662701,1,
324259522,6,
73530432,10,
296693809,2,
9953899,2,
57623307,5,
6135468,2,
54521138,4,
157031279,1,
37336282,24,
119858396,3,
281086682,3,
133779762,503,
367656404,93,
220427695,49,
23331798,77,
300832900,3,
366280937,24,
276102968,15,
5615582,2549,
4783339,13,
9115759,7,
57321196,1,
37275467,7,
9077680,95,
80380580,10,
127614763,0,
60677325,2,
2595250,7,
105139252,2,
101138512,35,
75661506,1,
194761833,3,
47516230,3,
227546601,25,
320684118,2,
359665765,49,
425912438,23,
63512772,4,
231294926,29,
135429973,1,
23612517,13,
407855173,10,
203489696,36,
6310164,1,
34322318,2,
121249803,4,
137033148,1,
7666074,2,
29152164,44,
80380580,10,
111838012,3,
56376512,2,
2197773,5,
32905891,18,
291140139,39,
367656404,93,
156799819,2,
392500657,140,
399874331,1,
182245033,2,
100545266,2,
3879650,4,
22125424,3,
55906557,0,
10012421,3,
116837134,1,
151704700,1,
51455142,25,
194761833,3,
46005350,37,
26779869,6,
23331798,77,
5100390,3,
273881862,4,
268829040,24,
308149664,10,
20580888,30,
23697420,1,
60205491,3,
237661259,6,
260894642,2,
32198174,3,
220427695,49,
260454908,20,
133779762,503,
367656404,93,
3879650,4,
410466372,2,
136290238,6,
385170833,25,
11366067,1,
37275467,7,
17043836,3,
14333737,10,
9186302,1,
135423019,25,
87005549,5,
17841401,47,
78002156,5,
29152164,44,
227546601,25,
171172948,7,
392500657,140,
87926251,4,
316394303,1,
48069833,10,
23331798,77,
51581505,1,
46505648,21,
97180248,0,
36056403,1,
133779762,503,
149230562,56,
157685633,32,
157685633,32,
22593603,1,
14358069,16,
227876683,2,
99007102,5,
121768834,9,
123593940,5,
191395151,7,
359665765,49,
5615582,2549,
1269985,8,
401963848,13,
392500657,140,
16509030,25,
23331798,77,
291140139,39,
310780469,6,
1679337,3,
20671289,22,
49958550,1,
55045753,3,
58361319,3,
24471281,2,
27884231,8,
80118445,0,
26483521,3,
29963058,19,
135423019,25,
234082248,5,
15834909,5,
123284991,11,
314165088,1,
324804612,10,
271656881,4,
5192522,98,
380138219,4,
133779762,503,
32442486,6,
413296796,0,
6266073,28,
1444590,18,
64804994,3,
18778308,0,
18017502,2,
169338876,3,
121768834,9,
133779762,503,
174046387,5,
230050935,1,
301572359,1,
344510240,1,
304216559,4,
220427695,49,
1444590,16,
358439356,40,
23331798,77,
49655610,36,
223843118,1,
392500657,140,
384138945,1,
79985018,2,
133779762,503,
253839975,35,
2364392,23,
6843061,2,
59886955,18,
157969490,7,
27234875,3,
59173261,1,
38078874,1,
262701656,6,
289218456,0,
187999690,1,
26744799,1,
482073826,0,
478717835,0,
171446547,1,
500829112,0,
480832918,0,
434423439,1,
216631614,27,
512920972,0,
408018781,17,
246003002,0,
356623718,10,
74282739,0,
104836016,2,
51913277,0,
309329,1,
5321232,1,
49357921,8,
114407078,0,
30495033,0,
429916203,0,
502215579,0,
28260018,0,
227865845,3,
23269743,0,
390738578,1,
134463347,0,
198629100,0,
311888829,1,
68767728,3,
1315486,21,
314462294,0,
468884150,0,
348281346,19,
189212561,1,
273768652,1,
365937479,0,
51913277,0,
9371210,1,
30460359,0,
230688115,0,
112757420,1,
34754586,0,
426180130,0,
216631614,27,
183150569,1,
499439855,0,
45688186,0,
