checkInOutId,checkoutTime,minimumStay,checkinStartTime,checkinEndTime
LONCHK54,11:00,2.0,14:00,20:00
LONCHK55,11:00,3.0,15:00,22:00
LONCHK56,11:00,5.0,15:00,22:00
LONCHK57,11:00,5.0,14:00,22:00
LONCHK58,10:00,3.0,15:00,22:00
LONCHK59,11:00,1.0,16:00,19:00
LONCHK60,10:00,5.0,15:00,22:00
LONCHK61,11:00,3.0,15:00,22:00
LONCHK62,11:00,4.0,16:00,19:00
LONCHK63,11:00,5.0,15:00,21:00
LONCHK64,11:00,1.0,15:00,22:00
LONCHK65,11:00,5.0,11:00,22:00
LONCHK66,12:00,1.0,15:00,22:00
LONCHK67,11:00,5.0,00:00,00:00
LONCHK68,11:00,3.0,15:00,22:00
LONCHK69,10:00,3.0,15:00,20:00
LONCHK70,11:00,1.0,15:00,22:00
LONCHK71,11:00,1.0,15:00,22:00
LONCHK72,11:00,1.0,15:00,22:00
LONCHK73,10:00,1.0,15:00,22:00
LONCHK74,11:00,3.0,16:00,22:00
LONCHK75,11:00,3.0,13:00,22:00
LONCHK76,12:00,1.0,15:00,17:00
LONCHK77,11:00,3.0,15:00,22:00
LONCHK78,11:00,4.0,15:00,22:00
LONCHK79,10:00,5.0,14:00,22:00
LONCHK80,11:00,4.0,16:00,19:00
LONCHK81,10:00,5.0,16:00,20:00
